parameter,min,max,ICER_min,ICER_max,ICER_default,GDP
Sensitivity,0.5,1,32622.396850409452,18452.130742092304,22012.69715155049,31364.603448275862
SP9,0.25,0.75,69042.20119067043,9161.016948997936,22012.69715155049,31364.603448275862
Specificity,0.5,1,131214.39720545922,17682.604119559976,22012.69715155049,31364.603448275862
test_cost,1,20,13438.966010127595,31539.065086464812,22012.69715155049,31364.603448275862
vax_cost,10,250,-2279.5410824810374,94889.41185364506,22012.69715155049,31364.603448275862
